"player","season","Team","TOI_all","GAA_per_fenwick","FA","GAA","GAR","WAR"
"STEVE.MASON","20082009","CBJ",3542.8,0.00298,2217,6.6,22.8,4.2
"STEVE.MASON","20092010","CBJ",3141.61,-0.01169,2172,-25.4,-9.5,-1.8
"STEVE.MASON","20102011","CBJ",3026.5,-0.00979,2054,-20.1,-5,-1
"STEVE.MASON","20112012","CBJ",2533.68,-0.02546,1740,-44.3,-31.6,-6.2
"STEVE.MASON","20122013","CBJ",712.08,-0.01743,459,-8,-4.6,-0.9
"STEVE.MASON","20122013","PHI",378.06,0.01429,287,4.1,6.2,1.2
"STEVE.MASON","20132014","PHI",3485.58,-0.00127,2363,-3,14.3,2.8
"STEVE.MASON","20142015","PHI",2885.38,0.00792,2021,16,30.7,6
"STEVE.MASON","20152016","PHI",3150.46,0.00102,2149,2.2,18,3.5
"STEVE.MASON","20162017","PHI",3224.5,-0.00242,2149,-5.2,10.5,2
"STEVE.MASON","20172018","WPG",684.89,-0.00539,538,-2.9,1,0.2
"THATCHER.DEMKO","20182019","VAN",534.15,-0.00129,389,-0.5,2.4,0.4
"THOMAS.GREISS","20092010","S.J",724.25,0.00178,506,0.9,4.6,0.9
"THOMAS.GREISS","20112012","S.J",1042.67,-0.00638,611,-3.9,0.6,0.1
"THOMAS.GREISS","20122013","S.J",308.2,-0.00093,214,-0.2,1.4,0.3
"THOMAS.GREISS","20132014","ARI",1292.33,0.00459,849,3.9,10.1,2
"THOMAS.GREISS","20142015","PIT",1154.61,-0.00525,724,-3.8,1.5,0.3
"THOMAS.GREISS","20152016","NYI",2287.33,0.0102,1627,16.6,28.5,5.6
"THOMAS.GREISS","20162017","NYI",2813.3,0.0013,2083,2.7,17.9,3.4
"THOMAS.GREISS","20172018","NYI",1491.74,-0.01485,1192,-17.7,-9,-1.6
"THOMAS.GREISS","20182019","NYI",2293.7,0.01104,1622,17.9,29.8,5.2
"TIM.THOMAS","20072008","BOS",3341.97,0.00634,2238,14.2,30.5,5.9
"TIM.THOMAS","20082009","BOS",3198.99,0.0142,2183,31,47,8.6
"TIM.THOMAS","20092010","BOS",2441.88,-0.00525,1580,-8.3,3.3,0.6
"TIM.THOMAS","20102011","BOS",3363.97,0.01411,2431,34.3,52.1,10
"TIM.THOMAS","20112012","BOS",3351.53,-0.00278,2192,-6.1,9.9,2
"TIM.THOMAS","20132014","DAL",363.52,-0.00837,263,-2.2,-0.3,-0.1
"TIM.THOMAS","20132014","FLA",2273.89,-0.00544,1525,-8.3,2.9,0.6
"TOBIAS.STEPHAN","20082009","DAL",437.87,-0.03532,252,-8.9,-7.1,-1.3
"TOMAS.VOKOUN","20072008","FLA",3930.67,0.00481,2891,13.9,35.1,6.7
"TOMAS.VOKOUN","20082009","FLA",3319.05,0.00764,2553,19.5,38.1,7
"TOMAS.VOKOUN","20092010","FLA",3630.01,0.00395,2761,10.9,31.1,5.9
"TOMAS.VOKOUN","20102011","FLA",3224.14,0.00268,2354,6.3,23.5,4.5
"TOMAS.VOKOUN","20112012","WSH",2523.64,0.00103,1745,1.8,14.6,2.9
"TOMAS.VOKOUN","20122013","PIT",1028.54,0.00408,710,2.9,8.1,1.6
"TRISTAN.JARRY","20172018","PIT",1363.94,-0.00193,931,-1.8,5,0.9
"TUUKKA.RASK","20072008","BOS",184.4,-0.0129,124,-1.6,-0.7,-0.1
"TUUKKA.RASK","20092010","BOS",2557.19,0.01234,1637,20.2,32.2,6.1
"TUUKKA.RASK","20102011","BOS",1594.37,-0.00155,1164,-1.8,6.7,1.3
"TUUKKA.RASK","20112012","BOS",1289.4,0.00284,846,2.4,8.6,1.7
"TUUKKA.RASK","20122013","BOS",2104.24,0.01097,1358,14.9,24.8,4.9
"TUUKKA.RASK","20132014","BOS",3386.45,0.00502,2212,11.1,27.3,5.3
"TUUKKA.RASK","20142015","BOS",4062.98,0.0039,2741,10.7,30.7,6
"TUUKKA.RASK","20152016","BOS",3678.06,0.00046,2632,1.2,20.4,4
"TUUKKA.RASK","20162017","BOS",3659.59,-0.00035,2278,-0.8,15.8,3
"TUUKKA.RASK","20172018","BOS",3173.07,0.0022,2093,4.6,19.9,3.6
"TUUKKA.RASK","20182019","BOS",2635.15,0.00082,1710,1.4,14,2.4
"TY.CONKLIN","20072008","PIT",1785.65,0.00376,1331,5,14.7,2.8
"TY.CONKLIN","20082009","DET",2117.18,-0.00092,1303,-1.2,8.4,1.5
"TY.CONKLIN","20092010","STL",1451.18,0.00573,1047,6,13.6,2.6
"TY.CONKLIN","20102011","STL",1285.44,-0.02877,775,-22.3,-16.6,-3.2
"TY.CONKLIN","20112012","DET",804.44,-0.01996,516,-10.3,-6.5,-1.3
"VESA.TOSKALA","20072008","TOR",3777.48,0.00117,2485,2.9,21,4
"VESA.TOSKALA","20082009","TOR",2957.42,-0.01043,2109,-22,-6.6,-1.2
"VESA.TOSKALA","20092010","CGY",211.92,-0.00394,127,-0.5,0.4,0.1
"VESA.TOSKALA","20092010","TOR",1393.02,-0.01636,966,-15.8,-8.7,-1.6
"VIKTOR.FASTH","20122013","ANA",1428.3,0.00816,944,7.7,14.6,2.9
"VIKTOR.FASTH","20132014","ANA",304.78,-0.02381,189,-4.5,-3.1,-0.6
"VIKTOR.FASTH","20132014","EDM",396.06,0.01086,304,3.3,5.5,1.1
"VIKTOR.FASTH","20142015","EDM",1336.49,-0.01585,978,-15.5,-8.3,-1.6
"WADE.DUBIELEWICZ","20072008","NYI",1132.4,0.01179,882,10.4,16.8,3.2
"YANN.DANIS","20082009","NYI",1760.1,0.00271,1293,3.5,13,2.4
"YANN.DANIS","20092010","N.J",467.32,0.00757,304,2.3,4.5,0.8
"ZANE.MCINTYRE","20162017","BOS",332.62,-0.02822,202,-5.7,-4.3,-0.8
